iter	Logloss
0	0.6901007262
1	0.6870816128
2	0.6840869418
3	0.6814818645
4	0.6785276595
5	0.6759335192
6	0.6736732513
7	0.6709840366
8	0.6681060409
9	0.6656251305
10	0.6627084481
11	0.6602219376
12	0.6574291543
13	0.6550214749
14	0.6526834187
15	0.6499448601
16	0.6477384385
17	0.6453950084
18	0.6428839159
19	0.6404790313
20	0.6378399652
21	0.6357633902
22	0.63407293
23	0.6316460616
24	0.6292405604
25	0.627109889
26	0.6249135401
27	0.6228477583
28	0.6203440213
29	0.618146499
30	0.6163177521
31	0.6148234053
32	0.6127149502
33	0.6101778058
34	0.6083858081
35	0.6075224809
36	0.6059033905
37	0.6035575469
38	0.601975069
39	0.5996199523
40	0.5976768245
41	0.5953563573
42	0.5932843941
43	0.5915073136
44	0.5892386998
45	0.5872965707
46	0.5852543514
47	0.5834488958
48	0.5815471284
49	0.5794817799
50	0.5776242635
51	0.5751312598
52	0.5729821669
53	0.5710603658
54	0.5689383445
55	0.567012174
56	0.5656193328
57	0.5635758927
58	0.5615101055
59	0.5596697839
60	0.5589336702
61	0.5573705714
62	0.5550113989
63	0.5536102946
64	0.5516144966
65	0.5496318138
66	0.5480434551
67	0.5465419315
68	0.5448714457
69	0.543131589
70	0.5412839053
71	0.5395213177
72	0.537889279
73	0.5367014153
74	0.5348975502
75	0.533299449
76	0.5319379741
77	0.5302276888
78	0.5287828181
79	0.5270486552
80	0.5253747312
81	0.5234519577
82	0.522017937
83	0.5202264701
84	0.5185555543
85	0.516559477
86	0.5149113441
87	0.5131364901
88	0.5116496805
89	0.5099950145
90	0.5094172235
91	0.5077321233
92	0.5061834989
93	0.5048335779
94	0.5031865669
95	0.5015504842
96	0.5000003059
97	0.4983857361
98	0.4970959972
99	0.4953597885
100	0.4941868156
101	0.4923468809
102	0.4918159459
103	0.4902535976
104	0.4891369167
105	0.4875688988
106	0.4863274962
107	0.4851524845
108	0.4836322743
109	0.4821265767
110	0.4808785266
111	0.4792441895
112	0.4778313643
113	0.4767183809
114	0.475612198
115	0.4741664752
116	0.4724153055
117	0.4709901339
118	0.4695766386
119	0.4681758003
120	0.4669936068
121	0.4656131007
122	0.4643923866
123	0.4630913808
124	0.4617638146
125	0.46125558
126	0.4600223512
127	0.4589652678
128	0.4578101016
129	0.4565971391
130	0.4553106566
131	0.4542103384
132	0.452760891
133	0.4514080771
134	0.4501340969
135	0.449184189
136	0.4475334751
137	0.4471231201
138	0.4460192959
139	0.4448303301
140	0.4435445073
141	0.4425184597
142	0.4411392101
143	0.4399917383
144	0.4390233824
145	0.4378428473
146	0.4368004266
147	0.4356691337
148	0.4341592454
149	0.4330534147
150	0.4320348943
151	0.4310296024
152	0.4297207388
153	0.4285899065
154	0.4273948205
155	0.4270318314
156	0.4258163619
157	0.424713189
158	0.4232196358
159	0.421965235
160	0.4204805982
161	0.419405374
162	0.4181595587
163	0.4169678116
164	0.4166263334
165	0.4154446398
166	0.4145481164
167	0.4135058379
168	0.4131735554
169	0.4126229043
170	0.4111285209
171	0.4099281587
172	0.4090723038
173	0.4081802026
174	0.4072074244
175	0.4062605496
176	0.4053560524
177	0.4043770799
178	0.4037022169
179	0.402901579
180	0.4020201782
181	0.4011171918
182	0.3997517637
183	0.3986623604
184	0.39834868
185	0.3980514414
186	0.3967015801
187	0.396177114
188	0.3952478455
189	0.3941718095
190	0.3934791903
191	0.3928132774
192	0.3919872441
193	0.3912279197
194	0.3903311854
195	0.3900529272
196	0.3888320529
197	0.3878230367
198	0.3875163321
199	0.386715931
200	0.3858435733
201	0.3852071514
202	0.3841915529
203	0.3835424521
204	0.3827461709
205	0.3818143305
206	0.3808170585
207	0.3795971144
208	0.3787657131
209	0.3775204631
210	0.3763135714
211	0.3754735998
212	0.3747759613
213	0.3735853608
214	0.3727858538
215	0.3718527282
216	0.3706801624
217	0.3701368726
218	0.368939259
219	0.3683529067
220	0.3672652397
221	0.3665837248
222	0.3654050969
223	0.3646865212
224	0.3637916594
225	0.3628322391
226	0.3623471433
227	0.3614385303
228	0.3605516487
229	0.3598128354
230	0.3588604156
231	0.3585984508
232	0.3583633096
233	0.3577450342
234	0.3568726291
235	0.3561506258
236	0.3555021741
237	0.3546146524
238	0.3539049929
239	0.3532005803
240	0.3521366247
241	0.351297109
242	0.3506294423
243	0.3504083476
244	0.349719371
245	0.3488959396
246	0.3484240597
247	0.3482192131
248	0.3476086883
249	0.3471036991
250	0.3463889767
251	0.3453186875
252	0.3448400056
253	0.3438227597
254	0.34320368
255	0.3426380531
256	0.3420066131
257	0.3413576203
258	0.3402973976
259	0.3395785743
260	0.3388089043
261	0.3377768508
262	0.3371529849
263	0.3363634945
264	0.3357784689
265	0.3355936222
266	0.3354122312
267	0.3350067241
268	0.3344166724
269	0.3336098842
270	0.3330016111
271	0.3328429654
272	0.3320448997
273	0.3314389029
274	0.3306786772
275	0.3302451006
276	0.3296540867
277	0.3289192453
278	0.3283338666
279	0.3277565228
280	0.3271523146
281	0.3266263296
282	0.326423661
283	0.3256579697
284	0.3251397825
285	0.3245712865
286	0.324006329
287	0.3235331118
288	0.3229748068
289	0.3224939252
290	0.3219940004
291	0.3214460409
292	0.3206789627
293	0.3199433586
294	0.3193857447
295	0.3184751167
296	0.3183185506
297	0.3174140462
298	0.3167618988
299	0.3162320841
300	0.3157077127
301	0.3150581006
302	0.3142793561
303	0.3138491381
304	0.3135382741
305	0.3131832366
306	0.312699257
307	0.3120273491
308	0.3115224716
309	0.310894453
310	0.310484239
311	0.3096199003
312	0.3090964388
313	0.3084491729
314	0.3079465149
315	0.3074356137
316	0.3069268667
317	0.3063045942
318	0.3058950349
319	0.3052484293
320	0.3049235361
321	0.3043237632
322	0.3037285225
323	0.3033242392
324	0.3026803693
325	0.3025460122
326	0.3017939825
327	0.301071091
328	0.3002923147
329	0.2998230321
330	0.2990500358
331	0.2989195023
332	0.2983002283
